1/10/09 12:57,Product1,Vanessa,Sandy Springs ,GA,United States,2/7/07 20:16,Diners Club,30312350400399
1/10/09 14:43,Product1,Anupam,Kinsaley,Dublin,Ireland,1/9/09 11:38,Discover,6011374282232456
1/10/09 12:05,Product1,Karina,Fort Lauderdale ,FL,United States,7/1/08 12:53,MasterCard,5492655473989486
1/10/09 14:56,Product1,Angela,Ankeny ,IA,United States,1/8/09 3:06,Visa,4307855026661792
1/11/09 2:04,Product1,chris,Gold Coast,Queensland,Australia,1/11/09 0:33,American Express,370963715853553
1/11/09 14:17,Product1,Stephanie,Brussels,Brussels (Bruxelles),Belgium,1/11/09 13:39,Diners Club,38564836036435
1/10/09 21:38,Product1,Anushka,Maple Ridge District Municipality,British Columbia,Canada,1/10/09 21:17,Discover,6011357531616603
1/12/09 3:25,Product1,chrissy,W Lebanon ,NH,United States,1/12/09 3:12,American Express,346605839348710
1/12/09 5:18,Product1,Bernadett,Southampton,England,United Kingdom,1/12/09 4:45,Discover,6011227774818192
1/11/09 11:33,Product1,Stefan,Stavanger,Rogaland,Norway,1/11/09 9:02,MasterCard,5588088646765614
1/11/09 13:08,Product1,Rosa Maria,Cincinnati ,OH,United States,1/11/09 12:38,American Express,379110393625025
1/12/09 19:04,Product1,Lydia,Comox,British Columbia,Canada,9/20/08 20:53,Diners Club,38945522549759
1/12/09 13:41,Product1,Eric,Gasperich,Luxembourg,Luxembourg,1/12/09 13:16,Discover,6011161760029318
1/11/09 10:38,Product1,AnaPaula,Helens Bay,Northern Ireland,United Kingdom,9/4/08 9:26,MasterCard,5353537415778649
1/13/09 5:57,Product1,Robin,Milan,Lombardy,Italy,10/15/08 5:31,Visa,4916424293095888
1/13/09 6:13,Product1,Gitte,Staten Island ,NY,United States,1/13/09 5:17,American Express,341526047312980
1/12/09 3:03,Product2,Valda,Irvine ,CA,United States,1/12/09 2:48,Discover,6011725896569726
1/10/09 14:03,Product1,Kevin,Cheltenham,England,United Kingdom,3/13/06 4:56,MasterCard,5519517416039150
